Series_Title,Overview,clean_text
Dog Day Afternoon,"Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does.","Dog Day Afternoon Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does. Biography, Crime, Drama Sidney Lumet Al Pacino John Cazale Penelope Allen Sully Boyar"
Young Frankenstein,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body.","Young Frankenstein An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body. Comedy Mel Brooks Gene Wilder Madeline Kahn Marty Feldman Peter Boyle"
Papillon,"A man befriends a fellow criminal as the two of them begin serving their sentence on a dreadful prison island, which inspires the man to plot his escape.","Papillon A man befriends a fellow criminal as the two of them begin serving their sentence on a dreadful prison island, which inspires the man to plot his escape. Biography, Crime, Drama Franklin J. Schaffner Steve McQueen Dustin Hoffman Victor Jory Don Gordon"
The Exorcist,"When a 12-year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her.","The Exorcist When a 12-year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her. Horror William Friedkin Ellen Burstyn Max von Sydow Linda Blair Lee J. Cobb"
Sleuth,"A man who loves games and theater invites his wife's lover to meet him, setting up a battle of wits with potentially deadly results.","Sleuth A man who loves games and theater invites his wife's lover to meet him, setting up a battle of wits with potentially deadly results. Mystery, Thriller Joseph L. Mankiewicz Laurence Olivier Michael Caine Alec Cawthorne John Matthews"
The Last Picture Show,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically.","The Last Picture Show In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically. Drama, Romance Peter Bogdanovich Timothy Bottoms Jeff Bridges Cybill Shepherd Ben Johnson"
Fiddler on the Roof,"In prerevolutionary Russia, a Jewish peasant contends with marrying off three of his daughters while growing anti-Semitic sentiment threatens his village.","Fiddler on the Roof In prerevolutionary Russia, a Jewish peasant contends with marrying off three of his daughters while growing anti-Semitic sentiment threatens his village. Drama, Family, Musical Norman Jewison Topol Norma Crane Leonard Frey Molly Picon"
Il conformista,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.","Il conformista A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident. Drama Bernardo Bertolucci Jean-Louis Trintignant Stefania Sandrelli Gastone Moschin Enzo Tarascio"
Butch Cassidy and the Sundance Kid,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.","Butch Cassidy and the Sundance Kid Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia. Biography, Crime, Drama George Roy Hill Paul Newman Robert Redford Katharine Ross Strother Martin"
Rosemary's Baby,A young couple trying for a baby move into a fancy apartment surrounded by peculiar neighbors.,"Rosemary's Baby A young couple trying for a baby move into a fancy apartment surrounded by peculiar neighbors. Drama, Horror Roman Polanski Mia Farrow John Cassavetes Ruth Gordon Sidney Blackmer"
Planet of the Apes,"An astronaut crew crash-lands on a planet in the distant future where intelligent talking apes are the dominant species, and humans are the oppressed and enslaved.","Planet of the Apes An astronaut crew crash-lands on a planet in the distant future where intelligent talking apes are the dominant species, and humans are the oppressed and enslaved. Adventure, Sci-Fi Franklin J. Schaffner Charlton Heston Roddy McDowall Kim Hunter Maurice Evans"
The Graduate,A disillusioned college graduate finds himself torn between his older lover and her daughter.,"The Graduate A disillusioned college graduate finds himself torn between his older lover and her daughter. Comedy, Drama, Romance Mike Nichols Dustin Hoffman Anne Bancroft Katharine Ross William Daniels"
Who's Afraid of Virginia Woolf?,"A bitter, aging couple, with the help of alcohol, use their young houseguests to fuel anguish and emotional pain towards each other over the course of a distressing night.","Who's Afraid of Virginia Woolf? A bitter, aging couple, with the help of alcohol, use their young houseguests to fuel anguish and emotional pain towards each other over the course of a distressing night. Drama Mike Nichols Elizabeth Taylor Richard Burton George Segal Sandy Dennis"
The Sound of Music,A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.,"The Sound of Music A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower. Biography, Drama, Family Robert Wise Julie Andrews Christopher Plummer Eleanor Parker Richard Haydn"
Doctor Zhivago,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.","Doctor Zhivago The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution. Drama, Romance, War David Lean Omar Sharif Julie Christie Geraldine Chaplin Rod Steiger"
Per un pugno di dollari,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.","Per un pugno di dollari A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge. Action, Drama, Western Sergio Leone Clint Eastwood Gian Maria Volontè Marianne Koch Wolfgang Lukschy"
8½,A harried movie director retreats into his memories and fantasies.,8½ A harried movie director retreats into his memories and fantasies. Drama Federico Fellini Marcello Mastroianni Anouk Aimée Claudia Cardinale Sandra Milo
Vivre sa vie: Film en douze tableaux,Twelve episodic tales in the life of a Parisian woman and her slow descent into prostitution.,Vivre sa vie: Film en douze tableaux Twelve episodic tales in the life of a Parisian woman and her slow descent into prostitution. Drama Jean-Luc Godard Anna Karina Sady Rebbot André S. Labarthe Guylaine Schlumberger
The Hustler,An up-and-coming pool player plays a long-time champion in a single high-stakes match.,"The Hustler An up-and-coming pool player plays a long-time champion in a single high-stakes match. Drama, Sport Robert Rossen Paul Newman Jackie Gleason Piper Laurie George C. Scott"
La dolce vita,A series of stories following a week in the life of a philandering paparazzo journalist living in Rome.,"La dolce vita A series of stories following a week in the life of a philandering paparazzo journalist living in Rome. Comedy, Drama Federico Fellini Marcello Mastroianni Anita Ekberg Anouk Aimée Yvonne Furneaux"
Rio Bravo,"A small-town sheriff in the American West enlists the help of a cripple, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy.","Rio Bravo A small-town sheriff in the American West enlists the help of a cripple, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy. Action, Drama, Western Howard Hawks John Wayne Dean Martin Ricky Nelson Angie Dickinson"
Anatomy of a Murder,"In a murder trial, the defendant says he suffered temporary insanity after the victim raped his wife. What is the truth, and will he win his case?","Anatomy of a Murder In a murder trial, the defendant says he suffered temporary insanity after the victim raped his wife. What is the truth, and will he win his case? Crime, Drama, Mystery Otto Preminger James Stewart Lee Remick Ben Gazzara Arthur O'Connell"
Touch of Evil,"A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town.","Touch of Evil A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town. Crime, Drama, Film-Noir Orson Welles Charlton Heston Orson Welles Janet Leigh Joseph Calleia"
Cat on a Hot Tin Roof,Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son.,Cat on a Hot Tin Roof Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son. Drama Richard Brooks Elizabeth Taylor Paul Newman Burl Ives Jack Carson
Sweet Smell of Success,Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.,"Sweet Smell of Success Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician. Drama, Film-Noir Alexander Mackendrick Burt Lancaster Tony Curtis Susan Harrison Martin Milner"
The Killing,Crook Johnny Clay assembles a five man team to plan and execute a daring race-track robbery.,"The Killing Crook Johnny Clay assembles a five man team to plan and execute a daring race-track robbery. Crime, Drama, Film-Noir Stanley Kubrick Sterling Hayden Coleen Gray Vince Edwards Jay C. Flippen"
The Night of the Hunter,"A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery.","The Night of the Hunter A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery. Crime, Drama, Film-Noir Charles Laughton Robert Mitchum Shelley Winters Lillian Gish James Gleason"
La Strada,"A care-free girl is sold to a traveling entertainer, consequently enduring physical and emotional pain along the way.","La Strada A care-free girl is sold to a traveling entertainer, consequently enduring physical and emotional pain along the way. Drama Federico Fellini Anthony Quinn Giulietta Masina Richard Basehart Aldo Silvani"
Les diaboliques,The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.,"Les diaboliques The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi. Crime, Drama, Horror Henri-Georges Clouzot Simone Signoret Véra Clouzot Paul Meurisse Charles Vanel"
Stalag 17,"When two escaping American World War II prisoners are killed, the German P.O.W. camp barracks black marketeer, J.J. Sefton, is suspected of being an informer.","Stalag 17 When two escaping American World War II prisoners are killed, the German P.O.W. camp barracks black marketeer, J.J. Sefton, is suspected of being an informer. Comedy, Drama, War Billy Wilder William Holden Don Taylor Otto Preminger Robert Strauss"
Roman Holiday,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.,"Roman Holiday A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome. Comedy, Romance William Wyler Gregory Peck Audrey Hepburn Eddie Albert Hartley Power"
A Streetcar Named Desire,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,A Streetcar Named Desire Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her. Drama Elia Kazan Vivien Leigh Marlon Brando Kim Hunter Karl Malden
In a Lonely Place,"A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts.","In a Lonely Place A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts. Drama, Film-Noir, Mystery Nicholas Ray Humphrey Bogart Gloria Grahame Frank Lovejoy Carl Benton Reid"
Kind Hearts and Coronets,A distant poor relative of the Duke D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.,"Kind Hearts and Coronets A distant poor relative of the Duke D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession. Comedy, Crime Robert Hamer Dennis Price Alec Guinness Valerie Hobson Joan Greenwood"
Rope,Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.,"Rope Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death. Crime, Drama, Mystery Alfred Hitchcock James Stewart John Dall Farley Granger Dick Hogan"
Out of the Past,"A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses and duplicitous dames.","Out of the Past A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses and duplicitous dames. Crime, Drama, Film-Noir Jacques Tourneur Robert Mitchum Jane Greer Kirk Douglas Rhonda Fleming"
Brief Encounter,"Meeting a stranger in a railway station, a woman is tempted to cheat on her husband.","Brief Encounter Meeting a stranger in a railway station, a woman is tempted to cheat on her husband. Drama, Romance David Lean Celia Johnson Trevor Howard Stanley Holloway Joyce Carey"
Laura,A police detective falls in love with the woman whose murder he is investigating.,"Laura A police detective falls in love with the woman whose murder he is investigating. Drama, Film-Noir, Mystery Otto Preminger Gene Tierney Dana Andrews Clifton Webb Vincent Price"
The Best Years of Our Lives,Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed.,"The Best Years of Our Lives Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed. Drama, Romance, War William Wyler Myrna Loy Dana Andrews Fredric March Teresa Wright"
Arsenic and Old Lace,A writer of books on the futility of marriage risks his reputation when he decides to get married. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers.,"Arsenic and Old Lace A writer of books on the futility of marriage risks his reputation when he decides to get married. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers. Comedy, Crime, Thriller Frank Capra Cary Grant Priscilla Lane Raymond Massey Jack Carson"
The Maltese Falcon,"A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.","The Maltese Falcon A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette. Film-Noir, Mystery John Huston Humphrey Bogart Mary Astor Gladys George Peter Lorre"
The Grapes of Wrath,"A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression.","The Grapes of Wrath A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression. Drama, History John Ford Henry Fonda Jane Darwell John Carradine Charley Grapewin"
The Wizard of Oz,Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.,"The Wizard of Oz Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well. Adventure, Family, Fantasy Victor Fleming George Cukor Mervyn LeRoy Norman Taurog Richard Thorpe"
La règle du jeu,"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau.","La règle du jeu A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau. Comedy, Drama Jean Renoir Marcel Dalio Nora Gregor Paulette Dubost Mila Parély"
The Thin Man,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.","The Thin Man Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it. Comedy, Crime, Mystery W.S. Van Dyke William Powell Myrna Loy Maureen O'Sullivan Nat Pendleton"
All Quiet on the Western Front,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.","All Quiet on the Western Front A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror. Drama, War Lewis Milestone Lew Ayres Louis Wolheim John Wray Arnold Lucy"
Bronenosets Potemkin,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre.","Bronenosets Potemkin In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre. Drama, History, Thriller Sergei M. Eisenstein Aleksandr Antonov Vladimir Barskiy Grigoriy Aleksandrov Ivan Bobrov"
Knives Out,"A detective investigates the death of a patriarch of an eccentric, combative family.","Knives Out A detective investigates the death of a patriarch of an eccentric, combative family. Comedy, Crime, Drama Rian Johnson Daniel Craig Chris Evans Ana de Armas Jamie Lee Curtis"
Dil Bechara,"The emotional journey of two hopelessly in love youngsters, a young girl, Kizie, suffering from cancer, and a boy, Manny, whom she meets at a support group.","Dil Bechara The emotional journey of two hopelessly in love youngsters, a young girl, Kizie, suffering from cancer, and a boy, Manny, whom she meets at a support group. Comedy, Drama, Romance Mukesh Chhabra Sushant Singh Rajput Sanjana Sanghi Sahil Vaid Saswata Chatterjee"
Manbiki kazoku,A family of small-time crooks take in a child they find outside in the cold.,"Manbiki kazoku A family of small-time crooks take in a child they find outside in the cold. Crime, Drama Hirokazu Koreeda Lily Franky Sakura Andô Kirin Kiki Mayu Matsuoka"
Marriage Story,Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.,"Marriage Story Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together. Comedy, Drama, Romance Noah Baumbach Adam Driver Scarlett Johansson Julia Greer Azhy Robertson"
Call Me by Your Name,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.","Call Me by Your Name In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant. Drama, Romance Luca Guadagnino Armie Hammer Timothée Chalamet Michael Stuhlbarg Amira Casar"
"I, Daniel Blake","After having suffered a heart-attack, a 59-year-old carpenter must fight the bureaucratic forces of the system in order to receive Employment and Support Allowance.","I, Daniel Blake After having suffered a heart-attack, a 59-year-old carpenter must fight the bureaucratic forces of the system in order to receive Employment and Support Allowance. Drama Ken Loach Laura Obiols Dave Johns Hayley Squires Sharon Percy"
Isle of Dogs,"Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog.","Isle of Dogs Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog. Animation, Adventure, Comedy Wes Anderson Bryan Cranston Koyu Rankin Edward Norton Bob Balaban"
Hunt for the Wilderpeople,A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.,"Hunt for the Wilderpeople A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush. Adventure, Comedy, Drama Taika Waititi Sam Neill Julian Dennison Rima Te Wiata Rachel House"
Captain Fantastic,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.","Captain Fantastic In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent. Comedy, Drama Matt Ross Viggo Mortensen George MacKay Samantha Isler Annalise Basso"
Sing Street,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,"Sing Street A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes. Comedy, Drama, Music John Carney Ferdia Walsh-Peelo Aidan Gillen Maria Doyle Kennedy Jack Reynor"
Thor: Ragnarok,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.","Thor: Ragnarok Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela. Action, Adventure, Comedy Taika Waititi Chris Hemsworth Tom Hiddleston Cate Blanchett Mark Ruffalo"
Nightcrawler,"When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story.","Nightcrawler When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story. Crime, Drama, Thriller Dan Gilroy Jake Gyllenhaal Rene Russo Bill Paxton Riz Ahmed"
Jojo Rabbit,A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.,"Jojo Rabbit A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home. Comedy, Drama, War Taika Waititi Roman Griffin Davis Thomasin McKenzie Scarlett Johansson Taika Waititi"
Arrival,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecrafts appear around the world.,"Arrival A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecrafts appear around the world. Drama, Sci-Fi Denis Villeneuve Amy Adams Jeremy Renner Forest Whitaker Michael Stuhlbarg"
Star Wars: Episode VII - The Force Awakens,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.","Star Wars: Episode VII - The Force Awakens As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace. Action, Adventure, Sci-Fi J.J. Abrams Daisy Ridley John Boyega Oscar Isaac Domhnall Gleeson"
Before Midnight,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.,"Before Midnight We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna. Drama, Romance Richard Linklater Ethan Hawke Julie Delpy Seamus Davey-Fitzpatrick Ariane Labed"
X-Men: Days of Future Past,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,"X-Men: Days of Future Past The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants. Action, Adventure, Sci-Fi Bryan Singer Patrick Stewart Ian McKellen Hugh Jackman James McAvoy"
Bir Zamanlar Anadolu'da,A group of men set out in search of a dead body in the Anatolian steppes.,"Bir Zamanlar Anadolu'da A group of men set out in search of a dead body in the Anatolian steppes. Crime, Drama Nuri Bilge Ceylan Muhammet Uzuner Yilmaz Erdogan Taner Birsel Ahmet Mümtaz Taylan"
The Artist,An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.,"The Artist An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era. Comedy, Drama, Romance Michel Hazanavicius Jean Dujardin Bérénice Bejo John Goodman James Cromwell"
Edge of Tomorrow,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.","Edge of Tomorrow A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies. Action, Adventure, Sci-Fi Doug Liman Tom Cruise Emily Blunt Bill Paxton Brendan Gleeson"
Amour,"Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested.","Amour Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested. Drama, Romance Michael Haneke Jean-Louis Trintignant Emmanuelle Riva Isabelle Huppert Alexandre Tharaud"
The Irishman,"An old man recalls his time painting houses for his friend, Jimmy Hoffa, through the 1950-70s.","The Irishman An old man recalls his time painting houses for his friend, Jimmy Hoffa, through the 1950-70s. Biography, Crime, Drama Martin Scorsese Robert De Niro Al Pacino Joe Pesci Harvey Keitel"
Un prophète,A young Arab man is sent to a French prison.,"Un prophète A young Arab man is sent to a French prison. Crime, Drama Jacques Audiard Tahar Rahim Niels Arestrup Adel Bencherif Reda Kateb"
Moon,"Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems.","Moon Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems. Drama, Mystery, Sci-Fi Duncan Jones Sam Rockwell Kevin Spacey Dominique McElligott Rosie Shaw"
Låt den rätte komma in,"Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.","Låt den rätte komma in Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl. Crime, Drama, Fantasy Tomas Alfredson Kåre Hedebrant Lina Leandersson Per Ragnar Henrik Dahl"
District 9,Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.,"District 9 Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology. Action, Sci-Fi, Thriller Neill Blomkamp Sharlto Copley David James Jason Cope Nathalie Boltt"
The Wrestler,"A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.","The Wrestler A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle. Drama, Sport Darren Aronofsky Mickey Rourke Marisa Tomei Evan Rachel Wood Mark Margolis"
Jab We Met,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.,"Jab We Met A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman. Comedy, Drama, Romance Imtiaz Ali Shahid Kapoor Kareena Kapoor Tarun Arora Dara Singh"
Boyhood,"The life of Mason, from early childhood to his arrival at college.","Boyhood The life of Mason, from early childhood to his arrival at college. Drama Richard Linklater Ellar Coltrane Patricia Arquette Ethan Hawke Elijah Smith"
"4 luni, 3 saptamâni si 2 zile",A woman assists her friend in arranging an illegal abortion in 1980s Romania.,"4 luni, 3 saptamâni si 2 zile A woman assists her friend in arranging an illegal abortion in 1980s Romania. Drama Cristian Mungiu Anamaria Marinca Laura Vasiliu Vlad Ivanov Alexandru Potocean"
Star Trek,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,"Star Trek The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time. Action, Adventure, Sci-Fi J.J. Abrams Chris Pine Zachary Quinto Simon Pegg Leonard Nimoy"
In Bruges,"Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be.","In Bruges Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be. Comedy, Crime, Drama Martin McDonagh Colin Farrell Brendan Gleeson Ciarán Hinds Elizabeth Berrington"
The Man from Earth,An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.,"The Man from Earth An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine. Drama, Fantasy, Mystery Richard Schenkman David Lee Smith Tony Todd John Billingsley Ellen Crawford"
Letters from Iwo Jima,"The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.","Letters from Iwo Jima The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it. Action, Adventure, Drama Clint Eastwood Ken Watanabe Kazunari Ninomiya Tsuyoshi Ihara Ryô Kase"
The Fall,"In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances.","The Fall In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances. Adventure, Drama, Fantasy Tarsem Singh Lee Pace Catinca Untaru Justine Waddell Kim Uylenbroek"
Life of Pi,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.","Life of Pi A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger. Adventure, Drama, Fantasy Ang Lee Suraj Sharma Irrfan Khan Adil Hussain Tabu"
Fantastic Mr. Fox,An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.,"Fantastic Mr. Fox An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation. Animation, Adventure, Comedy Wes Anderson George Clooney Meryl Streep Bill Murray Jason Schwartzman"
C.R.A.Z.Y.,"A young French-Canadian, growing up in the 1960s and 1970s, struggles to reconcile his emerging homosexuality with his father's conservative values and his own Catholic beliefs.","C.R.A.Z.Y. A young French-Canadian, growing up in the 1960s and 1970s, struggles to reconcile his emerging homosexuality with his father's conservative values and his own Catholic beliefs. Comedy, Drama Jean-Marc Vallée Michel Côté Marc-André Grondin Danielle Proulx Émile Vallée"
